rowname	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s3	s4	s5	s6	s7	s8	s9
NELL2	-0.7288714456014299	-0.3327784366186204	0.7460436763281076	0.14674155284519683	-1.0251505374567038	-0.538872127985867	-0.7324699172682254	2.6725614766055887	-0.6759774649985015	0.18182534818828483	-1.2185556807181896	0.09722543598137323	-0.7580525954301307	0.652193087621302	-0.4245536098335646	0.2146324894838225	0.4400444882852544	1.096870332244963	1.5313745579696976	-1.3442306296423616
CELF4	-0.6809193074128866	-1.132922569019607	1.1913717490181555	0.47753187921663964	-1.018157115329647	-0.5439169366534117	0.13731969103292946	2.340598102662231	-0.5846770105133966	-0.00740826076264111	-0.8152626670950475	0.9543296341736648	-0.8206168307513867	-0.8702461746374773	-0.857984540339285	0.8194899830331686	-0.11328948670276073	0.8187801274224766	1.5954682654846326	-0.8894885328263566
CHRM2	-0.6255069583307485	-0.42269090730902026	0.7188520127112585	-0.4760383045519917	-1.3508251243694427	-0.5897134524467514	0.41853712645256974	2.9084343099820797	-0.11045434109883656	-0.1754498251745199	-0.557135061111926	1.0568756194051878	-0.5667112178122912	-0.4827418801002737	-0.37848096421548094	-1.3508251243694427	0.22849985390856406	0.4574441327835392	1.59335220560951	-0.2954220999619794
ARSI	-0.023146840468885616	-0.11186153720313502	1.1012332791906354	-0.14394450134214556	0.8864450058718468	0.6239811160870268	1.1767818785286113	-2.0401415563201293	1.6799226240817446	0.2911331744776441	-0.24810048592860895	1.105765090254755	-0.10402161760320935	-0.39476557638294624	-1.1565362115202091	-0.1986322068558191	0.1706455082997502	-2.071209021702259	-0.915892524104077	0.3723444026394087
GLIS3	-0.6260217300747017	0.1841756024747995	-0.3501168759770241	0.44573198125464747	-0.9024887844382472	-0.3700927034517555	-0.7759782302263397	1.1291363022011653	-0.5083730937932521	-0.7272423453083402	-2.8234888059533323	-0.032642488303973725	-0.02620987975760408	1.2229196655880203	1.1137211478709967	0.6117278844128464	0.5856941181078772	1.3970969106389286	0.9864275276540974	-0.533976202918803
PLA1A	0.0851094901603977	0.2157541413352823	-0.8878906103184643	-0.34219440761897457	-0.5608098953714952	-1.2185079329296928	-1.2185079329296928	1.3251346189802404	-0.576547590812123	-0.26703654202865584	-0.8527903992547192	-0.005108422605901457	-0.7546108119084376	0.4854848066842489	-0.19716290446915236	2.788004097257965	0.26638271729911056	1.677304445614032	0.44780257584739813	-0.4098094429313699
EPAS1	-0.22051952926895438	0.038280426215754	-0.44210514130985706	0.2833251975886952	-0.3447862006602047	-1.3771923228073895	-1.3485752656460823	1.2514291853280277	-0.5458759839399866	-0.19178104004866728	-1.5538971222141942	0.537125396207743	-0.4914034652253152	-0.11282333255219121	0.6268952251078096	2.6716018250242373	0.09056443783500659	1.4712413641142115	0.16115387526576128	-0.5026575290144085
LINC02055	-0.7994783031163698	0.16215718930268913	-0.12796382263506223	-0.7920790373301416	-0.6192969567145897	-0.6075910313230614	-0.08014425082467004	3.277974381259672	-0.6613875633718692	-0.6073845139703082	-0.4630237649228267	-0.510181909236961	-0.7176685232957113	1.1117246529721359	-0.7000748592076481	1.0540759555554038	0.7413389125831197	-0.277358270983946	0.9151784517418172	-0.2988167364816728
SLC11A1	1.4273889250758698	-0.3177989962490526	0.0576924815333516	0.2007069100985132	0.12008871480208587	-0.21331619615366904	-1.9693544404595857	0.49439397742105123	-1.2229015418807883	-1.4070000795371707	0.14277618552693816	0.7802362674553758	0.30377879173980343	1.3578189008273878	1.861363606395874	-1.162827941721474	0.8341625202019802	-0.9716317882751639	-0.3681067335401926	0.052530436738865656
PLLP	0.7552427679537865	0.16875393614274517	0.9587031218155183	0.020168774141178226	1.0973950028658173	1.0293467167113755	0.49301909329245264	-2.461670027135473	0.5477561863489763	-0.43662771175631815	0.38865037061689406	0.4207541165689713	0.17687036685830668	-0.0812953090376129	-0.4186739289769065	-1.146310380260086	0.29827433244738416	-2.292196804928884	-0.5039645016547212	0.9858038779865927
LINC01299	0.299787068399932	-0.663040084743829	1.328213819836204	-0.5295265103280302	0.6736293323388478	1.4423576715966155	1.0915586775903479	-1.4332960253675793	1.5729254725830515	0.16847031239017674	-0.27143392619190065	0.86980862899622	-0.03351749515148613	-0.5219627781061976	-0.5057845004230265	-0.5213792036537497	-0.028374063762168545	-2.2694003380673116	-1.0885786001143747	0.419542542178257
HSPB8	-1.230690237541405	0.36525824095128007	-0.36522961545757604	0.7127375705556567	-0.449499855206809	0.5580913949057038	-0.26991575167746357	-0.17080449359084648	-0.7630345850708757	-1.1048496517901703	-1.9913046923500872	-0.7134453993456233	-0.014270496245188852	1.6476313524346913	1.0771460604105665	0.15836339228186336	0.6609792337766831	1.4798169595990323	1.4725241653650694	-1.0595035920045064
MAFB	2.057112710764159	-0.17963941646707154	0.07346467027928663	-0.8029359852754071	0.783930152024129	-0.9368913179182908	-1.351412235737713	0.34775099378272184	-1.063781149835399	-0.7667407636242127	-0.3262646995180191	1.194165989900767	-1.0242664710278313	1.5911164114290917	-0.07932141034348478	-1.2862269020964778	1.3979239966202228	-0.060040765789525774	-0.009555450972238621	0.44161164380528994
AC011944.1	0.18589910284000238	0.7938009731397209	0.09734808211783777	-0.3121020961480123	0.2043368381066887	-1.352575209158453	0.3650359602315624	-1.3814246935237637	1.1828998629977727	0.003664991859613073	1.0960322207460065	0.39030346374239455	0.23333279390539685	0.8527482874045285	-0.1508782498377138	-1.9841328559516895	1.0499873369616965	-1.9841328559516895	-0.5198216216075192	1.2296776681256238
TM4SF1	-0.28493144667777437	0.3828149213737063	-1.0700016445298517	0.5341803359123595	-0.1935916392745198	-1.467250954811805	-1.426886649005627	0.46039701585448883	-0.9535756038128647	-0.42019436081954514	-1.1204867454870826	-0.7004593706355455	-0.11088707853096998	0.6453705038356361	0.7357461424843097	2.4314022067168763	0.5829145184839793	1.6713998998614517	0.08021529861960362	0.22382465044317928
PIEZO2	0.3740226039874818	0.23462379172954081	-0.11737341771333695	0.3363394477152781	0.36153221976867655	0.5822731159165903	0.8909629884626477	-2.1290175512558553	0.7417631948878858	1.453174444924418	0.6092522968964184	-0.1759911132041914	0.3866442371483001	-0.7259014708692061	0.040343760150518417	0.17792075225818427	0.02882796857700374	-2.911327705250237	-0.6353290844889299	0.4772595203588058
MIR124-2HG	-0.779614803342937	-0.8508769093904234	0.8134167203350525	0.40593744122488834	-0.36416546154474216	-0.471280210404398	-0.5688222141823321	2.471924926105096	-0.7124157087337514	0.056684484041858677	-0.9862203567874429	0.5586764615823633	-0.7870195788469011	-0.7128593972227949	-0.7588338934769607	0.16089308856187542	0.07000707790302706	1.0256463932276163	2.2061949745579197	-0.7772730336070096
ARMC4	-1.0559976165780938	0.17068458385286747	-0.08502549542369307	-0.812809137923712	-0.7670190559808974	-0.7657948627077557	-0.35187056024741015	2.671268440587893	-0.4577643224115609	-0.6012450277786733	-0.7921204078484394	0.003222092961862535	-0.5423464435325225	1.4706588641092198	-0.8080705303925151	0.8694438535582986	0.870367045470794	0.7906658349087947	1.1663953870166397	-0.9726426416410933
MT-CYB	0.3343750025511683	-0.03965908900862721	0.4177092323790517	-0.5667750996776145	-0.375447809819217	-0.7610989173940922	-1.1874470776703288	1.6994807669269385	-1.8620076440494338	-0.44728412596588274	-0.30880877819224073	0.48812197357841547	-1.2126866429180763	0.24735172051415902	-0.8240909650465909	1.273064045154206	0.29109701297531904	1.3345261919189335	1.8789420378844082	-0.37936183414050295
AC108721.1	0.2468594712218994	0.13195344597508465	-0.1544064310912014	-0.7168316739901613	0.16202920760813494	-0.18216231041528017	1.4152162757911608	-1.314740925851332	1.8083128031247804	-0.119168823983516	1.1034180836596166	0.3205661866467398	-0.28548737044127054	0.3107591121011233	-0.9898635019853993	-0.8026772146501763	0.9684136533935512	-1.9186625148168472	-1.327284330181445	1.343756857884538
CACNG3	-0.865077850753689	-1.222769498133385	1.2347557607429858	-0.13501901151328816	-0.8451424337443728	-0.815221171924917	-0.23754326811871965	2.2531095677589463	-0.6184385105418206	0.45254550444109615	-0.7139741115001317	0.7228150426279809	-0.5378358512581292	-0.6467072044373754	-0.8293331054410523	0.8326601260377546	0.18671348482013592	1.1522982127716332	1.625905663441419	-0.9937413452750732
SLC7A5	-0.47529276288726774	0.3501011844478228	-0.9609854990862782	1.2216477451109642	-0.722056223607486	-1.060101659192748	-1.6842077022321276	0.10382081328255066	-1.1900682208040296	0.003940921832369665	-1.1997276611380732	0.04140809568364451	0.6507472691305854	0.7716787438089685	1.8115995811215038	1.1751382288637138	0.014901501972736717	1.4686124297186045	0.5448779120159778	-0.8660346980414277
FOXC1	-0.13584352555944865	0.4543311788384189	-0.7767767899513388	-0.10856666658483471	-0.25891726735096504	-1.1753007487596179	-1.6282975976770435	0.7948230275452377	-1.1658167126667607	-0.37214315707744	-1.259912887837904	0.07268502509525214	-0.6743380263145408	0.6348162107806394	0.6122396457461736	2.343617406369413	0.45365983032063834	1.8069424464734876	0.3771308388546887	0.005667769755944638
OLR1	0.870572889677159	-0.6298980558243308	0.1514660929859292	0.15658452363123265	0.9234697578600932	-0.23204764411176831	-1.526991737594574	0.045750442552481736	-0.21692766665878474	-1.1992153324138568	-0.2788408691051634	1.347212853021357	0.3775675042845005	0.7823505085335598	2.1175699027871273	-2.3611928684630628	0.2558968295698596	0.03914298903229118	-0.5401542735144238	-0.08231584624962292
KITLG	-1.1186038243257974	0.40560697043009686	-0.3105104656034975	0.10534178786004833	-0.8148665460719188	-0.5521813472364633	-0.818101278049309	1.4832429562098088	-0.8428752494586015	-0.2923855883340211	-1.870294656568996	-0.04812268273292137	-0.5871798796468698	1.2810329080160976	-0.021188158799320133	1.0708222662141635	0.7181940966557747	1.917125475467869	1.1411099809702447	-0.8461667649963877
JUNB	0.473943938823488	-0.12739530775031274	-0.4712717334987144	1.576521999025791	0.093149833070262	-0.3268063758430279	-1.7216001283822049	-0.2947809965110828	-1.8586616523774195	-1.2528699569176998	-1.1717102594601185	-0.28883743264161515	1.238301087853565	1.203504065610604	1.5363912299653577	0.8289803660251509	0.44159013944198117	0.3531224966137782	-0.23553634694159606	0.003965033893811724
HAPLN2	0.7233194867181403	0.37245187528896856	0.4779333210184208	0.5858677870827543	0.49099762997373786	0.20780541679698328	-0.14201285204084027	-2.632253501144099	0.33056161589949545	-0.30841655029718523	0.08439761881690065	0.16254546858125932	0.9003327186316451	0.40446605244436945	0.15751017770145503	-0.5816044922195112	0.6496774952340014	-2.5474224815059956	-0.6236547811236942	1.2874979941431834
GRM1	-0.4347176821898305	-0.9992740921284022	0.9347135083660327	-0.5976063587378097	-1.429458703927137	-0.30334803402106914	0.06923511872555992	2.3983938739766657	-0.16915456902441334	0.22844304716949987	-1.156056808082177	0.023236048370864133	-0.7089945388203288	-0.002734422440335164	-0.901308525855143	0.8079960050058486	0.053915329708545144	1.7386369903171344	1.2674337660946882	-0.8193499525081881
CST3	-0.03015261116927626	0.09568333939179745	0.021192063557782588	-0.16843282260473147	0.4928363451044975	-0.8973239913005433	-1.6201314481523896	0.32176701220325576	-1.163960722463722	-1.394987975158993	-1.1077348418621393	-0.32404386658838297	-0.37979848582031656	1.609555217256335	0.8279518470491688	0.1313225999654699	0.7107051021811726	2.0225173564226657	1.4644543236870755	-0.6114184416987274
TEAD4	-0.3905479170662458	-0.27028473898795186	-0.79664318305746	1.2289082579649446	-0.7841056699436666	-1.2512152885369796	-0.8319286982497232	0.4481538732254588	-0.6641244137787815	-0.2165718885501437	-1.0836367877185764	-0.298225817007599	0.8509949730594785	-0.20561683079275325	1.980579107648433	2.3751733657875604	-0.2891619448738881	1.0234827859381206	-0.37495874059613826	-0.4502704444640862
SORBS2	-0.7374448880070749	-0.13111737058750014	0.7115650430212983	-0.2478140001150574	-0.2532057886862769	-0.6788168225637353	-0.7651874700970406	1.864102093714354	-0.7630815843498149	-0.29739943231711297	-1.3954355597886607	0.5807424742858489	-1.0198294633031901	-0.00465841751689017	-0.4098658616337294	1.9057860310021155	0.20514520099631095	1.2244638963584098	1.5072302547575385	-1.295178335169797
KLK6	0.6989645228254371	0.621786739733878	0.621983906105501	0.5198674743281525	0.7501280993338919	-0.16323335373852713	-0.03965547260792985	-2.817147550775534	0.016729865534071884	-0.11661971491394592	0.23799623227891645	0.18573125763928497	0.8371045083428995	0.12713753689062637	0.3417589306270307	-0.5396924560614333	0.4396289380603647	-2.4384121046625324	-0.4529127640856366	1.1688554051454947
SH3TC2-DT	0.7177428957080236	-0.16552567098363935	0.5755664068720955	-0.501588858945304	0.7515663538425832	1.2356999934895512	1.3666540376147205	-1.9156667563678822	1.1437066204005362	0.4963909131387052	0.09790872713926307	0.39718875727633673	-0.1909905221289298	-0.33800868327338873	-0.6275297482043884	-0.855819044702954	0.28639922184288474	-2.514650563160692	-0.6276570346840262	0.6686129551264963
DPP10	-0.750014024792498	0.44112449864573117	0.5691295932728254	-0.11840153956339955	-0.6146305721761819	0.06585978795180544	-0.2981987125070653	1.455463669652101	-0.24022648274503686	-0.8859688035299556	-2.3971197972480924	0.5835873888558601	-0.9390202875058127	1.4080862379688077	-0.1568866784215493	-0.9682002301068058	0.7817159916797288	1.353587658263733	1.3205218952068865	-0.6104095929010831
EPHA6	-1.1640097847766508	-0.26424134640932045	1.5609169364386495	-0.49083362730053914	-0.9073372587776017	-0.5928549284539281	0.09372207809423053	1.3759905144209097	-0.5155038877999584	-0.6556173911915337	-1.425961779174576	0.2292383073000648	-0.9071516887175565	0.3618302600801753	-0.19837120685967707	0.7540424908906136	0.2108137358084577	1.5387813078685053	2.009711869586684	-1.0131646010269444
EVC2	-0.6262546743805626	0.6728962764117298	-0.5488881791798667	-0.9750006620592797	-0.7885183034103886	-0.6636424183297474	-1.0848031382253565	1.3727436401500288	-0.8491858246017896	-0.27742457819042227	-1.0421693516642387	-0.2619647201244838	-0.9109578039319267	1.1818425948390199	0.16794064921890595	1.0321883773650886	0.4226192501144393	2.2129465497331093	1.4739536628784073	-0.5083213466126637
CFAP73	-0.7474961534483976	0.337964776691438	0.22293441323199542	-1.0399519887559012	-0.36306213228491424	0.24644235487768582	-0.5339810893695164	2.4140243738771354	-0.33247160313031227	-1.2863392453079892	-0.8753518717465575	-0.17563042917680113	-0.8258928672423029	2.0582766381649793	-0.8617150817285435	-0.17463658734254767	1.1105385735311903	0.7314236489902227	0.7046929430811485	-0.6097686729120121
ADM	-0.4481044306241805	-0.06412480948821257	-0.5741808202811558	0.9345894140169823	0.4553213634741142	0.9882379549934386	-0.8496661306327058	-0.6367249272079748	-0.8888653801443113	-1.6277259071588936	-1.9078839509059795	-0.4505502656685919	0.5086915788871864	1.1474971233911644	2.2329684113897357	0.8864961602567228	0.14386504338064615	0.5758648327067681	0.109332402179453	-0.5350376625642042
SLC7A11	-1.1619316836157385	0.4223178867519321	-0.567598114199762	0.20824865674130907	-0.9252303453532553	-0.40084180836646965	-1.0034669902012985	0.9493799156865248	-0.9390601974969467	0.3821489701381327	-1.439626054320598	-0.6607664276672609	-0.436823681698874	0.775280547747582	0.7867774405600162	1.3066321421423037	0.21642098798088424	2.2495373129092564	1.212489563446072	-0.9738881211838044
RUVBL2	-0.5780856885958252	0.13049949066812008	-0.853599409251347	2.1583066273138645	-0.7632566390987502	-0.7539194343225232	-1.1094919346961913	-0.8801815620767675	-1.2177514510249143	0.6497797097200874	-0.15617518973677	-0.8683533995184473	1.398099395790714	0.0027128124030174694	1.5286643046334865	1.2086060621750323	-0.4114379075374259	1.028521949549703	0.13769865826686312	-0.6506363946619297
CASP1	0.4741526956578959	0.0957445418123194	-0.899191047922535	0.4350308023094625	-0.19251612172344804	-1.4324668502046707	-2.070338223404687	0.2744733600432872	-1.7391898376949555	0.3319947643476066	-0.005197016284968381	-0.22369623961932764	0.4823346785206825	0.6797899422499029	0.8178107271712957	0.9062784315099921	0.2905936528575416	2.360981200212709	-0.05158133635641055	-0.5350081234816937
